Age,Employment_Type,Monthly_Income_INR,Monthly_Expenses_INR,Savings_INR,Current_Balance_INR,Existing_EMI_INR,Loan_Amount_INR,Credit_Utilization,Previous_Defaults,Credit_History_Years,Active_Loans,Loan_Purpose,Approved
56,Private,126426,56092,1295355,8495,38761,4483453,0.6378518884974133,0,4,0,Home,1
46,Private,66428,24995,531490,26110,0,2410449,0.21690877706573886,0,21,0,Home,1
32,Self Employed,51289,22965,106546,16568,0,558200,0.8173550495713032,0,4,1,Car,1
60,Business,60005,38495,382048,26495,0,500260,0.41639561193261365,1,6,3,Personal,1
25,Private,135782,80831,670256,82840,29974,1414363,0.7547401169298559,0,1,2,Car,1
38,Self Employed,45289,19648,35953,21954,8772,266838,0.8116839640289986,0,17,1,Education,1
56,Business,46693,30944,462775,3054,0,551610,0.07532885898046426,1,22,0,Car,1
36,Government,14194,4683,106455,28090,0,500000,0.675450057775794,0,4,1,Home,1
40,Private,44881,14357,180139,13824,0,1225151,0.3027521340709757,0,2,0,Home,1
28,Self Employed,57446,20162,57436,47170,0,758949,0.3587951889851425,0,10,1,Business,1
28,Self Employed,31028,10753,192389,21042,5437,360010,0.7334400260948784,0,2,0,Business,1
41,Business,26776,8973,57224,42570,8133,758659,0.9573981096166682,0,2,0,Home,0
53,Private,16143,9113,93572,73847,0,645566,0.8036640817995475,0,9,2,Home,1
57,Government,34517,18650,380666,15495,8177,370486,0.2916969266478642,2,6,1,Business,0
41,Private,115002,64290,1041623,138344,17857,3847778,0.7078486151144241,0,22,0,Home,1
20,Private,20148,11592,93592,6868,6359,676734,0.3277541934117606,0,1,0,Home,1
39,Private,78700,47436,458157,32978,11957,416265,0.43959325591009624,0,12,1,Education,1
19,Self Employed,83084,31810,214112,3061,28529,835529,0.12305349957550638,0,0,1,Business,1
41,Government,213569,117232,2002975,9187,0,1500000,0.834290465073119,0,11,1,Personal,1
61,Self Employed,91401,48627,877777,32135,0,2713342,0.6468990436905208,0,16,1,Home,1
47,Private,86920,58885,659069,3418,0,520154,0.8629667737796475,0,14,0,Education,1
55,Private,61121,24017,420744,5220,0,758409,0.22350763057248124,0,24,0,Car,1
19,Government,49046,15865,102385,12317,13302,439395,0.1293297976583826,0,0,0,Car,1
38,Private,81741,45889,424928,27714,24061,651021,0.8154549487621383,0,6,1,Personal,1
50,Government,103696,61809,559328,2483,26883,1278582,0.8789766544160785,0,13,1,Business,1
29,Business,54300,22441,161490,21753,0,1612167,0.17192669827982698,0,10,1,Home,1
39,Self Employed,106418,56224,1100173,31484,19880,1234743,0.6418976407911443,1,1,0,Car,1
61,Private,276489,89531,1698726,17451,0,2000000,0.16506304507958758,0,8,4,Car,1
42,Private,51149,34986,173498,4101,0,237880,0.014538614142830641,0,10,1,Education,1
44,Business,52020,17893,240670,30315,15802,382749,0.5423304994242842,0,11,0,Personal,1
59,Private,46384,15168,449802,29929,2854,307684,0.9503233674024955,0,6,0,Education,1
45,Private,53116,16871,584203,23159,11131,410189,0.5904939873231589,0,5,5,Personal,1
33,Private,102115,48086,719898,37441,19947,693834,0.4291283850696235,0,1,4,Personal,1
32,Business,51649,17501,375553,8988,15850,1790269,0.2820517048812281,0,2,0,Home,1
64,Government,54913,32830,813305,36046,14289,335411,0.2814788320754392,0,18,2,Education,1
61,Private,42201,27833,635324,7282,0,265294,0.26307815677442825,1,11,1,Personal,1
20,Business,65738,26563,99178,16961,20950,370883,0.2091631817824524,0,2,0,Education,1
54,Private,36245,19989,256902,4098,11444,202712,0.06652942377772098,0,5,2,Education,1
24,Government,23489,7444,63683,53298,1348,247195,0.757084069460451,2,2,1,Car,0
38,Private,64125,29152,273247,25180,0,780053,0.3153565745310909,0,11,0,Car,1
26,Business,160754,67062,751231,108264,33432,1202152,0.1560631519147747,1,1,2,Personal,1
56,Private,41193,16124,270167,87588,12427,492308,0.6041978913221113,2,9,2,Car,0
35,Business,26246,14642,156851,198317,0,301709,0.934356892837156,0,12,0,Car,1
21,Self Employed,154721,54475,364672,5203,14749,959935,0.6884874299672733,0,0,0,Education,1
42,Government,50379,32458,199845,29986,13434,296043,0.19179814298321973,0,15,0,Education,1
31,Business,86399,48896,281057,17705,11457,516153,0.4141232941535111,1,3,1,Education,1
26,Private,31654,18495,179090,24821,0,205383,0.825162381554018,0,2,0,Personal,1
43,Private,49309,33241,353938,13078,12654,621397,0.050641441142151744,0,10,2,Car,1
19,Private,113587,76892,561478,3477,26479,1084125,0.3365706258494531,0,0,2,Car,1
37,Private,53022,27606,441076,38904,0,361698,0.38783564227151,0,8,0,Personal,1
45,Government,53418,26610,331994,103280,12612,344347,0.45262408313997493,0,23,2,Education,1
64,Government,20067,8712,99225,24803,3285,187370,0.5586472420274184,0,7,4,Car,1
24,Private,78607,46081,349286,13995,6064,502737,0.4936832697718181,0,0,1,Education,1
61,Self Employed,30591,15763,370090,85553,9379,335321,0.16267884665037058,0,17,0,Car,1
25,Private,95972,64603,318412,15608,29156,927989,0.4169397034158909,0,6,3,Car,1
64,Business,55349,21887,262654,75787,0,337999,0.36902231284893694,1,23,1,Education,1
52,Private,58380,24759,473506,60073,0,388728,0.929321569620958,0,14,1,Personal,1
31,Private,77926,33230,193555,24568,7426,2821637,0.7428220403183874,0,11,1,Home,1
34,Private,61399,38214,525369,35891,9201,382301,0.8660808051959371,0,0,0,Education,1
53,Private,137457,46682,1266810,38150,0,787930,0.7096452054194267,0,14,0,Education,1
57,Private,124994,60279,638721,32740,31734,776910,0.05687360623694937,2,17,3,Education,0
21,Self Employed,23615,11123,35011,7257,0,202074,0.4740579886538965,1,0,5,Personal,1
19,Business,44248,14568,164651,37405,13185,499724,0.7779829852329948,0,0,4,Car,0
23,Business,80977,37599,360602,2096,26951,388847,0.5914406939191961,0,0,0,Education,0
59,Private,27845,14071,272631,39140,9350,219968,0.7585442097129659,0,23,1,Personal,1
21,Business,19132,6237,68398,26279,0,215514,0.9619341782169911,0,0,0,Business,1
46,Private,31066,15655,239554,11023,0,348223,0.24738648741012004,0,12,0,Car,1
